"행정구역","2022년06월_계_총인구수","2022년06월_계_연령구간인구수","2022년06월_계_0~9세","2022년06월_계_10~19세","2022년06월_계_20~29세","2022년06월_계_30~39세","2022년06월_계_40~49세","2022년06월_계_50~59세","2022년06월_계_60~69세","2022년06월_계_70~79세","2022년06월_계_80~89세","2022년06월_계_90~99세","2022년06월_계_100세 이상","2022년06월_남_총인구수","2022년06월_남_연령구간인구수","2022년06월_남_0~9세","2022년06월_남_10~19세","2022년06월_남_20~29세","2022년06월_남_30~39세","2022년06월_남_40~49세","2022년06월_남_50~59세","2022년06월_남_60~69세","2022년06월_남_70~79세","2022년06월_남_80~89세","2022년06월_남_90~99세","2022년06월_남_100세 이상","2022년06월_여_총인구수","2022년06월_여_연령구간인구수","2022년06월_여_0~9세","2022년06월_여_10~19세","2022년06월_여_20~29세","2022년06월_여_30~39세","2022년06월_여_40~49세","2022년06월_여_50~59세","2022년06월_여_60~69세","2022년06월_여_70~79세","2022년06월_여_80~89세","2022년06월_여_90~99세","2022년06월_여_100세 이상"
"대전광역시 유성구 노은1동(3020054600)","21,540","21,540","1,952","2,937","2,738","3,028","4,114","3,380","1,973","892","454","69","3","10,718","10,718","1,022","1,505","1,427","1,544","1,962","1,713","952","405","170","17","1","10,822","10,822","930","1,432","1,311","1,484","2,152","1,667","1,021","487","284","52","2"
"대전광역시 유성구 노은2동(3020054700)","24,094","24,094","2,102","3,248","3,055","2,872","4,474","4,075","2,414","1,116","642","94","2","11,846","11,846","1,092","1,679","1,587","1,440","2,078","2,018","1,188","505","238","21","0","12,248","12,248","1,010","1,569","1,468","1,432","2,396","2,057","1,226","611","404","73","2"
"대전광역시 유성구 노은3동(3020054800)","36,902","36,902","4,508","4,575","3,557","5,545","7,396","5,439","3,725","1,469","578","107","3","18,080","18,080","2,294","2,338","1,859","2,637","3,588","2,633","1,762","720","227","22","0","18,822","18,822","2,214","2,237","1,698","2,908","3,808","2,806","1,963","749","351","85","3"
"대전광역시 유성구 신성동(3020055000)","25,933","25,933","2,729","2,788","4,072","5,233","4,159","3,514","2,204","750","407","77","0","13,593","13,593","1,429","1,454","2,240","2,906","2,089","1,817","1,125","383","130","20","0","12,340","12,340","1,300","1,334","1,832","2,327","2,070","1,697","1,079","367","277","57","0"
"대전광역시 유성구 전민동(3020057000)","26,847","26,847","2,434","3,068","4,199","4,417","4,157","4,390","2,778","790","494","118","2","13,723","13,723","1,263","1,561","2,334","2,445","1,979","2,143","1,440","376","145","37","0","13,124","13,124","1,171","1,507","1,865","1,972","2,178","2,247","1,338","414","349","81","2"
"대전광역시 유성구 구즉동(3020058000)","28,291","28,291","2,352","3,009","4,215","4,241","4,701","4,887","2,841","1,240","699","104","2","14,487","14,487","1,201","1,566","2,339","2,307","2,344","2,539","1,438","510","218","25","0","13,804","13,804","1,151","1,443","1,876","1,934","2,357","2,348","1,403","730","481","79","2"
"대전광역시 유성구 관평동(3020060000)","28,415","28,415","2,858","4,346","3,765","3,731","5,653","4,711","2,283","702","310","54","2","14,543","14,543","1,454","2,309","2,037","1,907","2,667","2,550","1,170","349","93","7","0","13,872","13,872","1,404","2,037","1,728","1,824","2,986","2,161","1,113","353","217","47","2"
"대전광역시 유성구 원신흥동(3020061000)","27,214","27,214","2,778","2,640","3,084","4,922","5,077","3,986","3,078","1,097","470","78","4","12,937","12,937","1,447","1,370","1,499","2,388","2,433","1,795","1,336","507","146","15","1","14,277","14,277","1,331","1,270","1,585","2,534","2,644","2,191","1,742","590","324","63","3"
"대전광역시 대덕구 (3023000000)","174,612","174,612","10,212","15,401","23,637","19,990","25,727","33,175","27,018","12,618","6,000","810","24","88,756","88,756","5,153","8,058","12,984","11,061","13,217","16,819","13,355","5,778","2,162","168","1","85,856","85,856","5,059","7,343","10,653","8,929","12,510","16,356","13,663","6,840","3,838","642","23"
"대전광역시 대덕구 오정동(3023051000)","14,351","14,351","557","973","2,240","1,469","1,826","2,598","2,713","1,358","535","78","4","7,581","7,581","279","534","1,207","845","1,052","1,403","1,375","659","210","17","0","6,770","6,770","278","439","1,033","624","774","1,195","1,338","699","325","61","4"
