시점,분류,범죄발생장소,데이터
2018,공갈,학교,73
2018,공갈,금융기관,40
2018,공갈,의료기관,22
2018,공갈,종교기관,8
2018,공갈,산야,11
2018,공갈,해상,1
2018,공갈,부대,2
2018,공갈,구금장소,4
2018,공갈,공지,0
2018,공갈,주차장,36
2018,공갈,공중화장실,3
2018,공갈,PC방,66
2018,손괴,아파트 연립다세대,5576
2018,손괴,단독주택,4282
2018,손괴,고속도로,25
2018,손괴,노상,23786
2018,손괴,백화점,32
2018,손괴,슈퍼마켓,113
2018,손괴,편의점,260
2018,손괴,대형할인매장,20
2018,손괴,상점,1038
2018,손괴,시장노점,856
2018,손괴,숙박업소 목욕탕,1537
2018,손괴,유흥접객업소,3854
2018,손괴,사무실,826
2018,손괴,공장,151
2018,손괴,공사장광산,228
2018,손괴,창고,79
2018,손괴,역대합실,162
2018,손괴,지하철,32
2018,손괴,기타교통수단내,190
2018,손괴,흥행장,34
2018,손괴,유원지,158
2018,손괴,학교,128
2018,손괴,금융기관,100
2018,손괴,의료기관,156
2018,손괴,종교기관,246
2018,손괴,산야,1264
2018,손괴,해상,102
2018,손괴,부대,3
2018,손괴,구금장소,0
2018,손괴,공지,36
2018,손괴,주차장,7093
2018,손괴,공중화장실,145
2018,손괴,PC방,174
2019,상해,아파트 연립다세대,5082
2019,상해,단독주택,3557
2019,상해,고속도로,52
2019,상해,노상,12696
2019,상해,백화점,21
2019,상해,슈퍼마켓,108
2019,상해,편의점,191
2019,상해,대형할인매장,30
2019,상해,상점,431
2019,상해,시장노점,418
2019,상해,숙박업소 목욕탕,704
2019,상해,유흥접객업소,6539
2019,상해,사무실,1331
2019,상해,공장,336
2019,상해,공사장광산,253
2019,상해,창고,33
2019,상해,역대합실,162
2019,상해,지하철,54
2019,상해,기타교통수단내,345
2019,상해,흥행장,47
2019,상해,유원지,366
2019,상해,학교,527
2019,상해,금융기관,22
2019,상해,의료기관,402
2019,상해,종교기관,116
2019,상해,산야,138
2019,상해,해상,25
2019,상해,부대,10
2019,상해,구금장소,9
2019,상해,공지,7
2019,상해,주차장,817
2019,상해,공중화장실,77
2019,상해,PC방,94
2019,폭행,아파트 연립다세대,25179
2019,폭행,단독주택,15290
2019,폭행,고속도로,182
2019,폭행,노상,58944
2019,폭행,백화점,125
2019,폭행,슈퍼마켓,565
2019,폭행,편의점,1679
2019,폭행,대형할인매장,114
2019,폭행,상점,1919
2019,폭행,시장노점,1695
2019,폭행,숙박업소 목욕탕,2188
2019,폭행,유흥접객업소,22138
2019,폭행,사무실,3632
2019,폭행,공장,705
2019,폭행,공사장광산,596
2019,폭행,창고,88
2019,폭행,역대합실,1156
2019,폭행,지하철,562
2019,폭행,기타교통수단내,3267
2019,폭행,흥행장,209
2019,폭행,유원지,1471
2019,폭행,학교,875
2019,폭행,금융기관,105
2019,폭행,의료기관,1664
2019,폭행,종교기관,392
2019,폭행,산야,215
2019,폭행,해상,61
2019,폭행,부대,51
2019,폭행,구금장소,30
2019,폭행,공지,14
2019,폭행,주차장,3276
2019,폭행,공중화장실,287
2019,폭행,PC방,506
2019,체포·감금,아파트 연립다세대,234
2019,체포·감금,단독주택,149
2019,체포·감금,고속도로,6
2019,체포·감금,노상,259
2019,체포·감금,백화점,1
2019,체포·감금,슈퍼마켓,0
2019,체포·감금,편의점,4
2019,체포·감금,대형할인매장,1
2019,체포·감금,상점,8
2019,체포·감금,시장노점,8
2019,체포·감금,숙박업소 목욕탕,111
2019,체포·감금,유흥접객업소,67
2019,체포·감금,사무실,69
2019,체포·감금,공장,4
2019,체포·감금,공사장광산,0
2019,체포·감금,창고,2
2019,체포·감금,역대합실,5
2019,체포·감금,지하철,1
2019,체포·감금,기타교통수단내,128
2019,체포·감금,흥행장,2
2019,체포·감금,유원지,5
2019,체포·감금,학교,8
2019,체포·감금,금융기관,1
2019,체포·감금,의료기관,35
2019,체포·감금,종교기관,6
2019,체포·감금,산야,2
2019,체포·감금,해상,0
2019,체포·감금,부대,0
2019,체포·감금,구금장소,0
2019,체포·감금,공지,0
2019,체포·감금,주차장,16
2019,체포·감금,공중화장실,7
2019,체포·감금,PC방,2
2019,협박,아파트 연립다세대,4431
2019,협박,단독주택,3384
2019,협박,고속도로,101
2019,협박,노상,6367
2019,협박,백화점,16
2019,협박,슈퍼마켓,75
2019,협박,편의점,196
2019,협박,대형할인매장,6
2019,협박,상점,246
2019,협박,시장노점,152
2019,협박,숙박업소 목욕탕,207
